Ensembl ID#,S2-013-1,S2-013-2,S2-013-3,S2-LM7AA-1,S2-LM7AA-2,S2-LM7AA-3,Suit2-1,Suit2-2,Suit2-3,Suit2-OE-1,Suit2-OE-2,Suit2-OE-3
ENSG00000000003.15,2090,2008,2017,1286,2424,1572,1724,1622,1256,1600,2580,2322
ENSG00000000005.6,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000000419.12,4202,3327,3991,3753,6071,4514,3841,3545,2552,3107,3704,5425
ENSG00000000457.14,464,423,409,246,496,279,292,200,224,302,408,397
ENSG00000000460.17,1589,1297,1197,983,1739,916,972,688,709,912,975,1163
ENSG00000000938.13,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000000971.15,0,0,0,0,1,0,1,0,0,2,2,0
ENSG00000001036.14,6278,5358,6130,3032,5385,3913,2302,2078,1709,2705,3228,4088
ENSG00000001084.13,3053,2364,2577,2070,3708,2564,3114,2068,1935,2332,2378,3592
ENSG00000001167.14,2590,1956,1931,1849,3254,1864,1679,1109,1088,1813,1964,2369
ENSG00000001460.18,347,337,311,171,324,167,177,161,147,191,258,233
ENSG00000001461.17,2332,1933,1906,687,1327,893,795,667,625,928,1413,1236
ENSG00000001497.16,5167,3771,4498,3158,5325,3900,2508,2504,1979,2881,2592,4211
ENSG00000001561.7,977,896,748,1220,2273,1146,963,647,741,1068,1305,1245
ENSG00000001617.12,107,87,84,36,30,28,44,49,43,106,123,131
ENSG00000001626.15,160,190,127,2616,5995,3824,2340,1330,1491,4694,8372,6212
ENSG00000001629.10,4161,3447,3018,2972,5194,2666,2720,1720,2085,2930,3984,3690
ENSG00000001630.17,80,52,71,65,105,113,47,24,27,53,76,83
ENSG00000001631.15,232,189,196,140,253,192,136,99,88,115,166,229
ENSG00000002016.18,322,277,263,370,611,401,348,257,205,317,308,450
ENSG00000002079.14,132,120,102,38,51,45,43,30,29,57,65,70
ENSG00000002330.13,180,172,213,151,226,202,61,67,64,113,156,190
ENSG00000002549.12,4741,3732,4144,3111,5334,3838,2524,2261,1918,3016,3028,4234
ENSG00000002586.20,0,0,0,0,0,0,1,0,0,0,0,0
ENSG00000002586.20_PAR_Y,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000002587.10,12942,11136,11467,11713,22439,14834,8805,7583,6121,13620,14642,16434
ENSG00000002726.20,64,49,55,258,577,381,589,757,686,557,910,668
ENSG00000002745.13,276,203,188,82,143,86,200,121,163,187,216,252
ENSG00000002746.15,1,3,0,2,6,2,0,0,1,2,3,2
ENSG00000002822.15,45,49,38,13,26,7,10,8,1,10,13,23
ENSG00000002834.18,27188,21188,22007,15115,24913,16855,13430,10177,9483,16359,17421,21004
ENSG00000002919.14,1492,1274,1523,867,1556,1205,806,730,654,966,1110,1394
ENSG00000002933.9,0,0,0,429,778,572,293,346,290,183,444,232
ENSG00000003056.8,6632,5271,5539,4635,7517,5175,4444,3816,3549,4611,4997,6754
ENSG00000003096.14,28,28,34,392,685,415,44,36,29,109,110,106
ENSG00000003137.8,460,390,397,200,363,181,61,26,39,174,152,184
ENSG00000003147.19,363,366,302,276,417,249,285,220,216,349,584,406
ENSG00000003249.13,1515,1439,1394,475,779,499,295,274,187,405,665,475
ENSG00000003393.15,2379,2062,1857,1080,1951,1141,1038,686,879,1232,1475,1593
ENSG00000003400.14,418,384,388,219,436,243,261,208,186,326,562,424
ENSG00000003402.20,3084,2434,2318,1853,3405,2308,1912,1668,1644,2056,2601,2839
ENSG00000003436.16,2841,2347,2306,3094,5640,3247,3646,2741,2490,3680,5519,4939
ENSG00000003509.16,1357,1083,1242,640,1320,849,825,637,622,719,855,1042
ENSG00000003756.17,1515,1252,1357,1315,2655,1579,1316,971,887,1155,1445,1809
ENSG00000003987.14,44,59,36,50,71,57,28,16,16,27,22,39
ENSG00000003989.17,2429,1827,1637,3609,5730,3094,1949,1187,1477,2050,2618,2629
ENSG00000004059.11,2836,2274,2909,1760,3082,2425,1366,1423,1119,1984,2595,2880
ENSG00000004139.14,198,226,168,200,308,212,185,132,128,234,301,287
ENSG00000004142.12,9045,7114,8298,6271,10607,8352,6180,5490,4324,6403,6171,8960
ENSG00000004399.12,4700,4037,3625,1891,3586,2068,1165,953,925,2252,2718,2278
ENSG00000004455.17,18946,14845,16985,9304,16505,11606,10059,8415,6964,9702,10254,14625
ENSG00000004468.13,0,0,0,0,1,0,0,0,1,0,0,0
ENSG00000004478.8,9932,7532,8915,8208,13796,11227,9534,8669,7089,8404,8022,12706
ENSG00000004487.16,6621,5188,5934,4118,7344,5048,3696,2749,2461,3877,4218,5351
ENSG00000004534.15,3002,2400,2491,2495,4445,2895,2308,1615,1633,2140,2392,3321
ENSG00000004660.15,819,852,925,311,666,439,241,262,234,319,342,408
ENSG00000004700.16,3049,2436,2304,2698,4756,2969,1923,1327,1422,1990,2506,2974
ENSG00000004766.17,1262,1025,994,995,1766,1055,947,641,755,895,1226,1215
ENSG00000004776.13,0,3,3,0,2,0,1,0,0,4,1,0
ENSG00000004777.18,828,653,717,437,798,468,341,233,245,479,388,546
ENSG00000004779.10,2031,1444,1891,2202,4021,3058,2396,2317,1615,1922,2367,3408
ENSG00000004799.8,1019,883,807,306,677,336,339,187,185,464,681,546
ENSG00000004809.14,0,0,0,0,3,0,0,0,0,0,0,0
ENSG00000004838.14,31,15,30,22,39,23,10,6,14,17,29,16
ENSG00000004846.16,0,0,0,0,0,0,0,2,0,1,0,0
ENSG00000004848.8,37,27,28,11,22,17,3,6,1,7,19,10
ENSG00000004864.13,1578,1180,1180,1442,2427,1573,1142,891,825,1068,1220,1533
ENSG00000004866.20,757,633,570,737,1316,793,645,584,501,654,786,902
ENSG00000004897.12,10578,8217,7623,6024,10379,5641,5378,3793,4011,5104,6073,6529
ENSG00000004939.15,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000004948.15,1,0,0,3,11,3,7,5,8,9,19,13
ENSG00000004961.15,2577,1843,2400,1563,2631,2066,1448,1309,1014,1314,1462,2065
ENSG00000004975.12,2971,2495,2657,1578,2567,1803,1049,927,793,1477,1517,1876
ENSG00000005001.10,29,12,20,4,8,4,44,66,41,66,61,97
ENSG00000005007.12,10091,7298,7390,5719,9778,6504,5155,4078,3779,7140,6393,8797
ENSG00000005020.13,5870,4641,4578,3957,6482,3899,3353,3005,3104,3748,5054,4880
ENSG00000005022.6,25752,21391,25695,15146,25836,20537,14731,14308,10830,13854,16861,21963
ENSG00000005059.16,1382,1155,1240,1729,3038,2060,1280,1094,914,1392,1860,1971
ENSG00000005073.5,0,2,0,5,0,1,2,1,2,2,4,1
ENSG00000005075.15,1495,1154,1472,1116,1888,1736,900,1000,634,1042,1175,1781
ENSG00000005100.13,3886,2904,2871,2390,3869,2504,2339,1499,1584,2321,1941,3166
ENSG00000005102.13,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000005108.16,0,1,0,1,1,0,5,2,4,13,21,13
ENSG00000005156.12,2579,2050,1989,1277,2239,1412,1362,950,971,1296,1270,1819
ENSG00000005175.10,6562,5068,5088,3923,6961,4142,3447,2640,2527,2984,3410,4497
ENSG00000005187.12,364,351,375,1169,2522,1891,1200,775,679,1286,2246,1927
ENSG00000005189.19,561,454,522,559,951,669,492,359,362,429,542,636
ENSG00000005194.15,3828,2979,3536,2524,4394,3405,2425,2200,1784,2340,2292,3268
ENSG00000005206.17,1194,1057,1130,809,1708,991,572,463,355,865,848,1028
ENSG00000005238.19,807,734,675,486,785,520,460,411,332,601,729,759
ENSG00000005243.10,5,0,5,97,167,112,42,30,20,42,69,73
ENSG00000005249.13,23,33,18,41,44,29,4,3,1,10,21,24
ENSG00000005302.19,1463,1258,1330,1127,1872,1239,837,664,642,927,998,1367
ENSG00000005339.14,3673,3018,2380,2442,4059,2158,2120,1107,1445,2657,2995,2915
ENSG00000005379.17,52,84,72,21,28,11,15,14,9,24,51,36
ENSG00000005381.8,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000005421.9,3,4,3,0,2,0,0,0,0,3,1,1
ENSG00000005436.14,1446,1020,1147,700,1283,757,816,707,653,740,923,1077
ENSG00000005448.16,2042,1823,2197,690,1193,912,542,596,338,980,1347,1191
ENSG00000005469.11,538,492,495,530,1006,607,403,332,254,401,560,643
ENSG00000005471.17,3,4,1,4,4,1,4,3,6,4,7,10
ENSG00000005483.21,3258,2888,2458,2168,3884,1955,1981,1435,1469,2094,3239,2730
