"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000086548.9",22366.9019283997,-5.71084734134453,0.181707877155306,-31.4287274209002,8.19880146457687e-217,1.59351905265516e-212
"ENSG00000143786.8",645.841130761857,3.30347146314848,0.132558210700502,24.9209116937483,4.4155638791661e-137,4.29104497777361e-133
"ENSG00000039068.19",2491.51246280588,-3.2853262805105,0.132339515958391,-24.8249833522395,4.8182723319445e-136,3.12159803478911e-132
"ENSG00000147689.16",1055.3869485561,-4.09457575192775,0.165323633471262,-24.7670321898624,2.03219681447849e-135,9.87444432155099e-132
"ENSG00000203697.11",419.349380255981,-5.75804592106591,0.238704350527383,-24.1220820162864,1.46644514373112e-128,5.70036556271162e-125
"ENSG00000170373.8",2013.27224005168,4.1092206156844,0.171737345518785,23.9273560638267,1.59039871006118e-126,5.1518315547915e-123
"ENSG00000122786.20",1051.74952172848,4.39472676691453,0.184457381509859,23.8251607549771,1.83254659505915e-125,5.08819651736709e-122
"ENSG00000174175.17",3586.77664389619,-2.90261479087021,0.124709397457591,-23.2750285868174,7.93849245839702e-120,1.92865674276756e-116
"ENSG00000104368.18",5455.35840253507,4.54793525498931,0.196899918101551,23.0977000845868,4.88308052087274e-118,1.05452836670758e-114
"ENSG00000073737.16",579.557748862644,-5.28573816431471,0.231523322622292,-22.8302622148261,2.29575448412632e-115,4.46202841534791e-112
"ENSG00000163624.6",646.922047255318,-2.74440483285861,0.121184510163108,-22.6464985431288,1.51048433773336e-113,2.66888850801687e-110
"ENSG00000104413.18",1597.83286159177,-3.53795014945727,0.156396049276397,-22.6217360721478,2.64850897054303e-113,4.2897016959562e-110
"ENSG00000183018.9",1863.001881296,-3.77615240517909,0.168285365431149,-22.4389827095455,1.63952309550201e-111,2.45121314493669e-108
"ENSG00000169860.7",379.349367292418,5.39304366877271,0.241320324329763,22.3480706971168,1.26074725849187e-110,1.75027740828914e-107
"ENSG00000139998.15",2123.54552578592,-2.16262548797508,0.0969181232472187,-22.3139431049305,2.70561784843041e-110,3.5057592334729e-107
